Date	Precipitation total [mm]	Tritium [pCi/L]	Tritium +-	Sodium-22 [mBq/m3]	Sodium-22 +-	Sulfur-35 [mBq/L]	Sulfur-35 +-
3/15/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/16/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/17/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/18/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/19/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/20/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/21/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/22/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/23/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/24/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/25/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/26/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/27/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/28/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/29/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/30/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
3/31/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
4/1/2015	137.0	11.4	0.5	141.0	34.8	33.3	0.8
4/2/2015	72.0	23.6	1.0			103.1	1.1
4/3/2015	72.0	23.6	1.0			103.1	1.1
4/4/2015	72.0	23.6	1.0			103.1	1.1
4/5/2015	72.0	23.6	1.0			103.1	1.1
4/6/2015	72.0	23.6	1.0			103.1	1.1
4/7/2015	72.0	23.6	1.0			103.1	1.1
4/8/2015	72.0	23.6	1.0			103.1	1.1
4/9/2015	72.0	23.6	1.0			103.1	1.1
4/10/2015	72.0	23.6	1.0			103.1	1.1
4/11/2015	72.0	23.6	1.0			103.1	1.1
4/12/2015	72.0	23.6	1.0			103.1	1.1
4/13/2015	72.0	23.6	1.0			103.1	1.1
4/14/2015	72.0	23.6	1.0			103.1	1.1
4/15/2015	72.0	23.6	1.0			103.1	1.1
4/16/2015	72.0	23.6	1.0			103.1	1.1
4/17/2015	72.0	23.6	1.0			103.1	1.1
4/18/2015	72.0	23.6	1.0			103.1	1.1
4/19/2015	72.0	23.6	1.0			103.1	1.1
4/20/2015	72.0	23.6	1.0			103.1	1.1
4/21/2015	72.0	23.6	1.0			103.1	1.1
4/22/2015	72.0	23.6	1.0			103.1	1.1
